,Subject,Session,OSpan.EditDistanceScore,OSpan.EditDistanceUnit,OSpan.EditDistanceLoad,OSpan.PartialScore,OSpan.PartialUnit,OSpan.PartialLoad,Ospan.AbsoluteScore,OSpan.AbsoluteUnit,OSpan.AbsoluteLoad,Math.ACC,Math.RT_mean,Math.RT_sd,OSpan.Trials,OSpan.MemoryItems,SessionDate,SessionTime
0,1,1,20,0.8476190476190476,0.8,19,0.819047619047619,0.76,12,0.6,0.48,0.92,6804.36,3165.001196418942,5,25,05-07-2024,19:23:38
0,2,1,9,0.3257142857142857,0.36,5,0.2019047619047619,0.2,0,0.0,0.0,0.84,3197.44,1268.598409006307,5,25,03-05-2024,11:15:14
0,3,1,19,0.790952380952381,0.76,15,0.6123809523809524,0.6,3,0.2,0.12,0.92,9536.92,3847.503908596672,5,25,03-28-2024,16:04:49
0,4,1,20,0.8314285714285714,0.8,12,0.5866666666666667,0.48,7,0.4,0.28,0.96,6478.16,2034.9205897692093,5,25,03-28-2024,16:57:33
0,5,1,23,0.9166666666666666,0.92,23,0.9166666666666666,0.92,15,0.6,0.6,0.88,5043.72,1692.0975031008113,5,25,04-27-2024,17:02:41
0,6,1,20,0.7714285714285714,0.8,14,0.5857142857142857,0.56,9,0.4,0.36,0.88,6766.2,3588.0906017918032,5,25,03-22-2024,19:29:04
0,7,1,12,0.5385714285714286,0.48,13,0.5785714285714285,0.52,9,0.4,0.36,1.0,4742.28,2152.3005621892125,5,25,03-09-2024,11:08:22
0,8,1,19,0.8238095238095238,0.76,18,0.7952380952380953,0.72,12,0.6,0.48,0.96,4542.24,1397.2323023272354,5,25,03-20-2024,13:16:24
0,9,1,20,0.840952380952381,0.8,19,0.8123809523809524,0.76,7,0.4,0.28,1.0,3585.76,1255.662815674123,5,25,03-20-2024,17:04:42
0,10,1,22,0.9142857142857144,0.88,20,0.8571428571428571,0.8,18,0.8,0.72,0.92,8875.92,3969.7770080110713,5,25,03-04-2024,14:06:27
0,11,1,13,0.5738095238095238,0.52,10,0.4785714285714286,0.4,8,0.4,0.32,0.92,5794.76,2656.6700692157215,5,25,05-03-2024,14:05:23
0,12,1,21,0.8714285714285714,0.84,20,0.8380952380952381,0.8,12,0.6,0.48,1.0,2709.8,802.6587589588327,5,25,03-09-2024,14:09:45
0,13,1,25,1.0,1.0,25,1.0,1.0,25,1.0,1.0,0.96,5811.96,1880.469189679356,5,25,03-08-2024,16:17:27
0,14,1,21,0.8742857142857143,0.84,20,0.8457142857142858,0.8,13,0.6,0.52,1.0,5144.4,2126.281535137496,5,25,03-12-2024,16:23:28
